owner_id,owner_name,email,afraid_of,
1,Zara Beckham,zara.b@example.com,snake,
2,Sabrina Spellman,sabrina@witchmail.com,rat,
3,Roger Radcliffe,roger.doglover@mail.com,cat,
4,Andy Davis,andy.d@example.com,wolf,
5,Buffy Triggs,buffy.slayer@mail.com,rabbit,
6,Stacia Kirk,stacia.k@example.com,turtle,
7,Jon Arbuckle,jon.garfield@mail.com,dog,
8,Maeve O’Connor,maeve.oc@example.com,hedgehog,
9,Saar Lockwood,saar.l@example.com,penguin,
10,Willow Rosenberg,willow@witchlight.com,rat,
11,Sean Hayden,sean.h@example.com,turtle,
12,Harry Dresden,harry@wizarddetective.com,dragon,
13,Karla Stainthorpe,karla.turtle@mail.com,wolf,
14,Raj Patel,raj.p@example.com,rabbit,
15,Elijah Nguyen,elijah.n@example.com,ferret,
